Curriculum,Nutrition and Food Systems
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,,ENGL,101,,,,3,,,1
2,,NSC,101,,,,3,,,1
3,MATH,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Second Language,,,,,,4,,,1
6,,ENGL,102,,,,3,,,2
7,,FOOD,102,,,,3,,,2
8,,NSC,396A,,,,1,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,,FOOD,101,,,,3,,,3
12,,ECOL,182R,,,,3,,,3
13,,ECOL,182L,,,,1,,,3
14,,NSC,301,,,,3,,,3
15,Tier I General Education,,,,,,3,,,3
16,Tier I General Education,,,,,,3,,,3
17,,MIC,205A,,,,3,,,4
18,,MIC,205L,,,,1,,,4
19,,NSC,353,,,,3,,,4
20,Tier II General Education,,,,,,3,,,4
21,Tier II General Education,,,,,,3,,,4
22,General Elective,,,,,,3,,,4
23,,FOOD,3XX,,,,3,,,5
24,,MCB,181R,,,,3,,,5
25,,MCB,181L,,,,1,,,5
26,Tier II General Education,,,,,,3,,,5
27,Technical Writing,,,,,,3,,,5
28,,FOOD,300,,,,3,,,6
29,,NSC,311,,,,3,,,6
30,,PSIO,380,,,,4,,,6
31,Food Supply Elective,,,,,,3,,,6
32,Food Supply Elective,,,,,,3,,,6
33,,NAFS,4XX,,,,3,,,7
34,Human Health Elective,,,,,,3,,,7
35,Human Health Elective,,,,,,3,,,7
36,Statistics,,,,,,3,,,7
37,General Elective,,,,,,3,,,7
38,,FOOD,496,,,,3,,,8
39,Food & Culture Elective,,,,,,3,,,8
40,Food & Culture Elective,,,,,,3,,,8
41,General Elective,,,,,,3,,,8
42,General Elective,,,,,,2,,,8
